,nav
20240802,104594488.10011327
20240805,101511337.72572446
20240806,102927460.64881955
20240807,103082943.99170123
20240808,102681940.26273903
20240809,102438012.30467069
20240812,102274931.67704606
20240813,102801395.36855385
20240814,102014326.17896669
20240815,102714199.15174523
20240816,102711344.11894156
20240819,102917159.32080588
20240820,101377894.47944407
20240821,101070311.88146141
20240822,99726411.36828858
20240823,99728937.87130156
20240826,100522840.71465363
20240827,99248040.52147895
20240828,99716638.61610304
20240829,101080979.59445281
20240830,102855672.22317661
20240902,100952558.09111986
20240903,101834923.37410732
20240904,101170395.59800486
20240905,101832113.20435871
20240906,100257701.88622686
20240909,99505222.15859056
20240910,99929573.23096699
20240911,99461951.21258205
20240912,99189702.76700002
20240913,98024564.14036074
20240918,98094095.89890437
20240919,99903430.18010421
20240920,99450628.49683818
20240923,99647441.93558185
20240924,103423049.2976593
20240925,104874551.16521436
20240926,108296779.58684525
20240927,112643668.93796578
20240930,123452540.07156777
20241008,130615490.91821383
20241009,118241196.94071278
20241010,118812119.4762724
20241011,114798608.88156073
20241014,118718592.94457518
20241015,116505244.16812404
20241016,117300857.79025713
20241017,117378182.02020563
20241018,121376163.27907896
20241021,124612240.43427496
20241022,125761187.65123126
20241023,126314670.97985521
20241024,126219501.60982902
20241025,129098328.41705814
20241028,131654169.60513762
20241029,129668983.24278419
20241030,129612460.19791985
20241031,132118325.36847849
20241101,128460260.96823536
20241104,131185723.90723713
20241105,135425964.09602517
20241106,136932077.97845343
20241107,138910543.66529804
20241108,138535594.3291775
20241111,140309654.42056325
20241112,139097661.84922716
20241113,140070360.05547133
20241114,137355572.10225576
20241115,134789219.72742057
20241118,132822177.85751927
20241119,136611779.82514167
20241120,139574278.75992876
20241121,140612518.05691272
20241122,136090731.5387231
20241125,137404537.82098866
20241126,135070311.9768027
20241127,136383314.42635238
20241128,135755071.96003035
20241129,138375474.41201404
20241202,140924625.08905694
20241203,141365829.58768082
20241204,140867640.21619436
20241205,141909546.17222652
20241206,143173350.7889448
20241209,143211330.77643773
20241210,143143378.36295953
20241211,144845446.22820446
20241212,145955567.06795245
20241213,142966779.81104246
20241216,141781654.59371367
20241217,138344398.2311256
20241218,138331909.80052012
20241219,138585025.45885947
20241220,139456723.6066461
20241223,135860695.65699273
20241224,137571980.962593
20241225,135787303.70949924
20241226,137967730.63822737
20241227,138577325.6837961
20241230,138565985.4291992
20241231,135554914.93368363
20250102,133385497.26734547
20250103,129975211.67034407
20250106,130199928.51685046
20250107,133899214.2386763
20250108,134050289.22074124
20250109,135367425.6294269
20250110,133143976.15315421
20250113,133251226.9633942
20250114,138497856.29233497
20250115,137780028.7978297
20250116,138988467.3605803
20250117,140127520.23663253
20250120,141525437.60278836
20250121,141808970.50449905
20250122,141566988.52620628
20250123,140838060.04748428
20250124,142832411.3076445
20250127,141028704.98236957
20250205,140363797.681032
20250206,142537580.07703042
20250207,143660094.21346292
20250210,144452765.0442794
20250211,145170806.3089494
20250212,146151731.68061346
20250213,144355859.08685192
20250214,143897296.4442935
20250217,144876801.74735752
20250218,142595683.9121976
20250219,144956199.98830724
20250220,146446841.35568804
20250221,148116451.3883376
20250224,148624283.49013278
20250225,148002979.49602696
20250226,150038152.33212328
20250227,149845218.65057895
20250228,145783300.9567182
20250303,146570031.60605508
20250304,148222822.01858136
20250305,149560687.8530426
20250306,151089832.80435514
20250307,152179708.66045323
20250310,153154253.942512
20250311,154158904.7414489
20250312,155345722.37040547
20250313,155228503.44341576
20250314,157856271.8310583
20250317,158305020.50735974
20250318,159829065.67070466
20250319,159018143.00937033
20250320,158306350.9846795
20250321,156296661.17181057
20250324,156485054.28447467
20250325,157269713.43119848
20250326,157848097.84237003
20250327,156168535.65798476
20250328,154432515.12223282
20250331,152976033.13217893
20250401,154354404.4372182
20250402,154740806.61404663
20250403,152969639.06502303
20250407,139424741.5584059
20250408,139551913.55131838
20250409,140895838.6136242
20250410,144000115.90709984
20250411,144369954.08376613
20250414,147230765.42370912
20250415,146674511.83143312
20250416,145356736.18944433
20250417,145850390.0575758
20250418,145763422.25500408
20250421,148692679.39531016
20250422,149727033.62264556
20250423,150007188.03785875
20250424,150224227.6353246
