,nav
20240805,86725396.54408509
20240806,87302942.02245992
20240807,87406374.11848599
20240808,87535992.97229087
20240809,87130862.55831051
20240812,87605605.73740512
20240813,88251956.01625603
20240814,88047858.24088286
20240815,88831002.2633943
20240816,89002755.25737767
20240819,88790824.20953046
20240820,87546818.53697851
20240821,87079386.87821954
20240822,86395319.08574232
20240823,86331120.91209172
20240826,86188929.37712306
20240827,85555678.72700828
20240828,85743555.29918084
20240829,86232599.13034339
20240830,87168841.68899131
20240902,86272134.1500583
20240903,86895082.70985763
20240904,86397955.53490065
20240905,87076555.64805022
20240906,85753716.7554522
20240909,84945311.66480695
20240910,85156193.53577614
20240911,84545204.20856342
20240912,84102013.15635185
20240913,83354425.62530191
20240918,83249459.9103489
20240919,84539605.53954743
20240920,84087345.46576075
20240923,84202896.07352982
20240924,87085978.85419148
20240925,88025848.7919816
20240926,90772181.68713251
20240927,93894221.53524287
20240930,102652563.05352098
20241008,108633707.7805823
20241009,100038621.42038919
20241010,98829206.17824228
20241011,95862683.57383548
20241014,99353298.2422821
20241015,97786264.24182525
20241016,97437115.2854471
20241017,96929293.85806428
20241018,100387736.23326154
20241021,102270616.07739227
20241022,102667580.68801624
20241023,102450892.74143949
20241024,101977730.44069777
20241025,104355832.17826174
20241028,106708803.68542352
20241029,106036513.49854186
20241030,106386809.80351551
20241031,108026066.72546232
20241101,102457931.23381823
20241104,103943023.408816
20241105,106729160.78277944
20241106,106850277.1045446
20241107,108958040.67539476
20241108,108336453.12502754
20241111,110086268.72687882
20241112,109086362.11174378
20241113,109185234.71570592
20241114,106622435.15386084
20241115,104140975.19593325
20241118,102361170.50353038
20241119,104816988.47086063
20241120,106463362.64288306
20241121,106797365.06860101
20241122,103269020.16002241
20241125,104369830.36048062
20241126,103173280.08059007
20241127,104837090.59835559
20241128,104702539.07840633
20241129,106651454.57809106
20241202,107826214.43328632
20241203,108005056.08050938
20241204,106640589.52792831
20241205,107777475.31500958
20241206,108716286.34934594
20241209,108958389.65721925
20241210,109524253.01857416
20241211,110873961.54168324
20241212,111625238.51581304
20241213,109738589.883065
20241216,108781088.06758323
20241217,105294845.60842289
20241218,106079782.59369117
20241219,106439735.21589033
20241220,107916607.06287874
20241223,104422633.8936035
20241224,106213985.75452779
20241225,104826094.54453003
20241226,107021925.89080665
20241227,107039910.82186587
20241230,106731164.32225405
20241231,103831013.5067898
20250102,101905449.11995684
20250103,98264538.5318188
20250106,97400995.83802499
20250107,99096599.40795237
20250108,99705044.82189022
20250109,100020379.51356064
20250110,98061757.65806726
20250113,97332245.69635923
20250114,101879696.61559477
20250115,101652256.2204943
20250116,101834789.378529
20250117,102610150.90340196
20250120,103629926.81321485
20250121,104398304.76763466
20250122,103370510.05808298
20250123,102725241.72177461
20250124,104168125.72719099
20250127,103505860.16766965
20250205,102768882.74928537
20250206,104809516.90939514
20250207,105425913.65936019
20250210,105812880.40084915
20250211,106400267.09128727
20250212,107368650.9643399
20250213,105041036.36945991
20250214,104876168.37747619
20250217,106005377.74763712
20250218,104374009.47709607
20250219,107142181.61202061
20250220,108013657.45754431
20250221,109521248.94283682
20250224,109182317.84131107
20250225,108399354.21106397
20250226,109678276.21234229
20250227,109566656.6826436
20250228,105626661.10936259
20250303,105296226.08911456
20250304,106356997.26445055
20250305,107850179.95905259
20250306,109431337.22062804
20250307,109575717.43849432
20250310,110215912.68841709
20250311,110287505.41683257
20250312,110976157.46268252
20250313,109313461.13432646
20250314,111449519.62788348
20250317,112203130.62519984
20250318,113539267.58698668
20250319,112819753.24599046
20250320,112304843.63207844
20250321,109423292.6368862
20250324,109276221.13279413
20250325,107735001.50922537
20250326,108781346.27747242
20250327,108558356.52778162
20250328,107543588.2966611
20250331,106691267.65644339
20250401,105983359.23549196
20250402,106772902.9710519
20250403,104468169.64878231
20250407,94261628.87858163
20250408,93446830.31352109
20250409,94596817.07642278
20250410,97157088.76976566
20250411,97728630.66265538
20250414,99389537.78947201
20250415,99172181.89613388
20250416,98156727.7042428
20250417,98373264.28202154
20250418,98425262.1938808
20250421,100251315.47364269
20250422,100276766.58720109
20250423,101571274.00263584
20250424,101614277.97293313
20250425,101772389.98645934
20250428,100692679.62225097
20250429,101475462.6196835
20250430,101994843.6921803
20250506,103743015.6634965
20250507,104841148.38612878
20250508,105089632.56419152
20250509,104225518.25056677
20250512,104611262.65647982
20250513,104456117.84426229
20250514,104503484.22053489
20250515,103794085.01476242
20250516,104115198.46490479
