,nav
20230725,109065429.46775496
20230726,108535903.9784603
20230727,108330082.21869326
20230728,109798112.52201813
20230731,110168552.69778349
20230801,109420240.69882624
20230802,109486907.33576776
20230803,108784864.23048146
20230804,109476801.4866328
20230807,109500385.92974108
20230808,109093038.12439644
20230809,107694241.91869964
20230810,107713507.44174567
20230811,106081864.45029345
20230814,106338343.69236298
20230815,106199550.71515264
20230816,104939902.87268849
20230817,106344721.65240927
20230818,105218565.78332008
20230821,104466735.12739064
20230822,105059852.77129516
20230823,103924658.35029519
20230824,103658963.40396212
20230825,101872176.6343119
20230828,102878632.12282413
20230829,106054615.95137672
20230830,106278833.34603304
20230831,105830890.67766248
20230901,106337399.71137665
20230904,108023186.16088095
20230905,107451288.55204508
20230906,107702017.92232051
20230907,105963282.71896753
20230908,105804901.52299221
20230911,107319922.13183679
20230912,107199396.56487896
20230913,106438465.429722
20230914,106595721.09729876
20230915,106472244.45796478
20230918,107085740.43018459
20230919,106473409.15308721
20230920,105649398.52683812
20230921,104941910.67968278
20230922,106566370.69536678
20230925,106210175.44791384
20230926,105905666.9214695
20230927,106372865.91764139
20230928,107339368.409205
20231009,107288652.20795988
20231010,106577421.37459965
20231011,106298274.26094618
20231012,107569515.12934455
20231013,106774064.9724894
20231016,106425622.01674195
20231017,106366897.79122825
20231018,104861959.39139098
20231019,103485032.30661021
20231020,102898606.98891227
20231023,100829637.13824551
20231024,102415324.96216431
20231025,103220031.895151
20231026,103619449.864123
20231027,104568250.81108075
20231030,104650665.4814356
20231031,104338466.64537075
20231101,104463834.16308849
20231102,103503952.78810164
20231103,104741406.51958084
20231106,105914198.37006873
20231107,106492634.10667257
20231108,106052926.6540346
20231109,105903036.70238411
20231110,105755808.92083229
20231113,106803341.66719012
20231114,107049774.66640471
20231115,107954665.84769692
20231116,107114307.73095058
20231117,108110883.15203035
20231120,108556804.19687572
20231121,108028842.2920888
20231122,106565289.27857432
20231123,107793945.6403622
20231124,106698249.84763964
20231127,107232418.6397732
20231128,107940374.69772913
20231129,107668037.01253976
20231130,107351623.43445966
20231201,107485943.51242031
20231204,107236931.03695706
20231205,105475465.11684935
20231206,105979111.38577905
20231207,105683779.35992534
20231208,104886765.49840555
20231211,106014027.8802489
20231212,106340161.35694563
20231213,105610763.62855902
20231214,105596871.7364179
20231215,105060609.17872478
20231218,103983915.96458194
20231219,104078081.72125848
20231220,103082514.79338467
20231221,103728768.50227253
20231222,103497740.16648395
20231225,103586737.46747658
20231226,102707612.1329699
20231227,103530753.22009891
20231228,105202611.96879709
20231229,106402090.61952904
20240102,106832680.49816972
20240103,106948853.81968537
20240104,106890504.83199932
20240105,105983707.59472983
20240108,104522212.3825286
20240109,105210512.81195287
20240110,104929788.86078976
20240111,105955321.79192002
20240112,105967404.43485862
20240115,106391898.80286865
20240116,106570905.02162528
20240117,105211112.25296521
20240118,104692372.9626373
20240119,103614294.025734
20240122,98827183.64248648
20240123,99725496.58350427
20240124,101195930.79501021
20240125,104558632.73108262
20240126,104449802.04811622
20240129,102749819.43587886
20240130,100451655.72510241
20240131,98274916.54823059
20240201,97210976.35287194
