day,code,rps,order,capex,margin,discovery,fwd1,fwd3,fwd6,disc_q,state,lc_score,ev_score,ms_score,ex_score,rpi,rpi_q,n_green,n_red,ev,unconfirmed,exec,growth_ra,recovery_ra
20230504,002006,1.948051948051948,1.0,1.0,0.5,0.8333333333333334,0.1198179979777553,-0.0482248689155103,-0.2054924334938488,high,L5-A,1.0,0.8333333333333334,0.8170995670995672,1.0,0.9134199134199136,Q5高,3,0,0.8333333333333334,0.9805194805194806,1.0,0.7441558441558442,0.9961038961038962
20230504,603259,2.3474178403755865,1.0,0.5,1.0,0.8333333333333334,-0.0023788284269996,0.1293862678302639,0.2795593952011326,high,L5-A,1.0,0.8333333333333334,0.8137715179968701,1.0,0.912754303599374,Q5高,3,0,0.8333333333333334,0.9765258215962441,1.0,0.7429577464788732,0.9953051643192488
20230504,300179,3.2467532467532463,1.0,1.0,1.0,1.0,-0.0268317853457172,0.0165118679050566,-0.0939112487100103,high,L5-A,1.0,1.0,0.9675324675324676,1.0,0.9935064935064934,Q5高,3,0,1.0,0.9675324675324676,1.0,0.7902597402597402,0.9935064935064934
20230504,603456,3.286384976525822,1.0,0.5,1.0,0.8333333333333334,-0.0718995290423861,-0.1167064015295084,-0.0905677963059138,high,L5-A,1.0,0.8333333333333334,0.8059467918622848,1.0,0.911189358372457,Q5高,3,0,0.8333333333333334,0.9671361502347418,1.0,0.7401408450704225,0.9934272300469484
20230504,002843,3.896103896103896,1.0,1.0,1.0,1.0,0.2152521525215252,0.0977859778597787,0.4876998769987701,high,L5-A,1.0,1.0,0.961038961038961,1.0,0.9922077922077922,Q5高,3,0,1.0,0.961038961038961,1.0,0.7883116883116883,0.9922077922077921
20230504,603613,4.0,1.0,0.5,0.5,0.6666666666666666,-0.1893237212495709,-0.0035573489855879,-0.0395011720682723,high,L5-A,1.0,0.6666666666666666,0.6399999999999999,1.0,0.828,Q5高,3,0,0.6666666666666666,0.96,1.0,0.688,0.992
20230504,002057,5.0,1.0,1.0,0.5,0.8333333333333334,0.0376175548589343,0.0597657962755264,-0.0954524264112929,high,L5-A,1.0,0.8333333333333334,0.7916666666666666,1.0,0.9083333333333332,Q5高,3,0,0.8333333333333334,0.95,1.0,0.7349999999999999,0.99
20230504,600779,5.405405405405405,1.0,0.5,1.0,0.8333333333333334,-0.0670062072258474,0.1623428298583478,-0.0084913354173652,high,L5-A,1.0,0.8333333333333334,0.7882882882882883,1.0,0.9076576576576576,Q5高,3,0,0.8333333333333334,0.9459459459459459,1.0,0.7337837837837837,0.9891891891891891
20230504,300217,6.8181818181818175,1.0,0.5,0.5,0.6666666666666666,-0.0194514142331199,0.0428338861331973,0.0196993459971368,high,L5-A,1.0,0.6666666666666666,0.6212121212121212,1.0,0.8242424242424242,Q5高,3,0,0.6666666666666666,0.9318181818181819,1.0,0.6795454545454545,0.9863636363636363
20230504,300337,8.47457627118644,1.0,1.0,0.5,0.8333333333333334,-0.0500736377025037,0.0088365243004417,0.2842415316642119,high,L5-A,1.0,0.8333333333333334,0.7627118644067797,1.0,0.902542372881356,Q5高,3,0,0.8333333333333334,0.9152542372881356,1.0,0.7245762711864407,0.9830508474576272
20230504,688363,9.090909090909092,0.5,1.0,1.0,0.8333333333333334,-0.0647925593060927,0.0013557794657099,-0.2064271228714174,high,L5-A,1.0,0.8333333333333334,0.7575757575757576,1.0,0.9015151515151516,Q5高,3,0,0.8333333333333334,0.9090909090909091,1.0,0.7227272727272727,0.9818181818181817
20230504,605507,10.328638497652582,1.0,0.5,0.5,0.6666666666666666,-0.0110648828348518,-0.0735379345912524,-0.1191742773636584,high,L5-A,1.0,0.6666666666666666,0.5978090766823161,1.0,0.8195618153364632,Q5高,3,0,0.6666666666666666,0.8967136150234742,1.0,0.6690140845070423,0.9793427230046949
20230504,688677,11.267605633802818,1.0,0.5,1.0,0.8333333333333334,-0.0272581507215393,-0.242422059108314,-0.1235596509181712,high,L5-A,1.0,0.8333333333333334,0.7394366197183099,1.0,0.897887323943662,Q5高,3,0,0.8333333333333334,0.8873239436619718,1.0,0.7161971830985916,0.9774647887323944
20230504,603025,13.636363636363637,1.0,0.5,1.0,0.8333333333333334,0.0102739726027396,0.0614652485554032,0.00314298215126,high,L5-A,1.0,0.8333333333333334,0.7196969696969697,1.0,0.8939393939393939,Q5高,3,0,0.8333333333333334,0.8636363636363636,1.0,0.709090909090909,0.9727272727272727
20230504,603229,14.084507042253522,0.5,0.5,1.0,0.6666666666666666,-0.0541116318704729,-0.1233697072385583,-0.1005845149506413,high,L5-A,1.0,0.6666666666666666,0.5727699530516431,1.0,0.8145539906103286,Q5高,3,0,0.6666666666666666,0.8591549295774648,1.0,0.6577464788732394,0.971830985915493
20230504,300135,14.285714285714285,1.0,1.0,0.5,0.8333333333333334,0.1302681992337164,0.2068965517241381,0.4750957854406132,high,L5-A,1.0,0.8333333333333334,0.7142857142857144,1.0,0.8928571428571429,Q5高,3,0,0.8333333333333334,0.8571428571428572,1.0,0.7071428571428571,0.9714285714285715
20230504,603538,14.553990610328638,1.0,1.0,1.0,1.0,-0.0317217228919101,-0.1572839932400913,-0.0070922006313053,high,L5-A,1.0,1.0,0.8544600938967136,1.0,0.9708920187793428,Q5高,3,0,1.0,0.8544600938967136,1.0,0.756338028169014,0.9708920187793426
20230504,002896,14.935064935064934,1.0,0.5,0.5,0.6666666666666666,0.2144449398127508,0.3973633678435495,0.6063649837434479,high,L5-A,1.0,0.6666666666666666,0.5670995670995671,1.0,0.8134199134199134,Q5高,3,0,0.6666666666666666,0.8506493506493507,1.0,0.6551948051948051,0.9701298701298702
20230504,002003,16.666666666666664,0.5,1.0,1.0,0.8333333333333334,-0.0193566033894616,0.1279072513916432,0.1557981329789735,high,L5-A,1.0,0.8333333333333334,0.6944444444444445,1.0,0.888888888888889,Q5高,3,0,0.8333333333333334,0.8333333333333334,1.0,0.7,0.9666666666666666
