code,day,state,rps_t0,rps_t1,state_t1,fwd6,fwd6_excess,R1_price,R2_state,R3_excess,year,ind,gate,cycle,health,regime
688017,20220505,L5-B,6.299212598425196,96.7391304347826,L3,0.9941212835711526,0.7256860001008795,True,True,True,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
688065,20220505,L5-B,3.2520325203252036,42.10526315789473,L0,0.0038974504041449,-0.0909559292580406,False,False,False,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
688166,20220505,L5-B,4.519774011299435,27.142857142857142,L0,0.0300409853644509,-0.0568253814935666,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
688298,20220505,L5-A,41.80790960451977,3.8095238095238098,L0,-0.3410507742345956,-0.4279171410926131,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
688356,20220505,L5-B,14.124293785310735,84.76190476190476,L3,0.0290557896304057,-0.0578105772276118,True,True,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
688357,20220505,L5-A,4.878048780487805,97.79411764705884,L3,-0.0222866406751804,-0.1171400203373659,True,True,False,2022,基础化工,GREEN,TURNING_UP,WARNING,NORMAL_DISCOUNT
688399,20220505,L5-B,76.27118644067797,29.52380952380953,L1,-0.1952360005755404,-0.2821023674335579,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
688658,20220505,L5-A,11.299435028248588,30.47619047619048,L0,0.1610287511510169,0.0741623842929993,False,False,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
688665,20220505,L5-A,29.92125984251969,16.304347826086957,L1,-0.1978626647081922,-0.4662979481784653,False,False,False,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
688696,20220505,L5-A,28.57142857142857,11.627906976744184,L1,-0.30715314475096,-0.3027104767113027,False,False,False,2022,家用电器,GREEN,TURNING_UP,HEALTHY,NORMAL_DISCOUNT
000404,20220901,L5-A,67.44186046511628,86.04651162790698,L3,0.0787119856887299,0.0241915249062245,True,True,False,2022,家用电器,GREEN,STABLE,HEALTHY,OVERREACTION
000408,20220901,L5-A,53.96825396825397,20.0,L1,-0.0610790634543604,-0.1414841565526228,False,False,False,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
000603,20220901,L5-B,34.92063492063492,92.72727272727272,L3,0.2532110091743118,0.1728059160760493,True,True,True,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
000630,20220901,L5-B,7.936507936507936,87.27272727272727,L3,0.1937716262975779,0.1133665331993154,True,True,True,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
000657,20220901,L5-A,14.285714285714285,98.1818181818182,L3,0.2068242521901773,0.1264191590919148,True,True,True,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
000731,20220901,L5-A,46.05263157894737,18.38235294117647,L1,-0.0790305584826133,-0.1000008485602252,False,False,False,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
000792,20220901,L5-B,10.526315789473683,33.82352941176471,L1,-0.0791127541589649,-0.1000830442365768,False,False,False,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
000895,20220901,L5-B,45.83333333333333,25.0,L1,0.0351828490373313,-0.125633377857369,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
000902,20220901,L5-A,21.710526315789476,11.76470588235294,L1,-0.1774406332453826,-0.1984109233229945,False,False,False,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
000968,20220901,L5-A,5.555555555555555,41.66666666666667,L2,-0.0999999999999998,-0.1476641262650743,False,True,False,2022,石油石化,YELLOW,STABLE,WARNING,OVERREACTION
002041,20220901,L5-A,42.857142857142854,41.37931034482759,L2,-0.0803858520900321,-0.0560211748458583,False,True,False,2022,农林牧渔,YELLOW,STABLE,WARNING,OVERREACTION
002192,20220901,L5-A,6.349206349206349,10.909090909090908,L1,-0.1635146443514644,-0.2439197374497268,False,False,False,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
002216,20220901,L5-A,16.666666666666664,50.0,L2,-0.0108757870635375,-0.1716920139582378,True,True,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
002304,20220901,L5-A,48.61111111111111,12.162162162162163,L1,0.0855370347161297,-0.0752791921785706,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
002349,20220901,L5-A,4.285714285714286,56.28140703517588,L2,0.0265780730897009,-0.1011775328061521,True,True,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
002365,20220901,L5-B,54.761904761904766,26.633165829145728,L1,0.0494791666666667,-0.0782764392291863,False,False,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
002497,20220901,L5-A,15.789473684210526,22.058823529411764,L1,-0.1285612535612537,-0.1495315436388656,False,False,False,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
002507,20220901,L5-B,22.22222222222222,4.166666666666666,L1,-0.1451239669421488,-0.3059401938368491,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
002545,20220901,L5-B,6.578947368421052,55.14705882352941,L2,-0.0254777070063694,-0.0464479970839813,True,True,False,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
002557,20220901,L5-A,4.166666666666666,31.944444444444443,L1,-0.0105172783859197,-0.17133350528062,False,False,False,2022,食品饮料,GREEN,STABLE,HEALTHY,OVERREACTION
002603,20220901,L5-B,45.714285714285715,92.964824120603,L3,0.3839567372690402,0.2562011313731871,True,True,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
002613,20220901,L5-A,8.333333333333332,28.57142857142857,L1,0.0511811023622046,-0.0132523062153422,False,False,False,2022,建筑材料,YELLOW,STABLE,WARNING,OVERREACTION
002644,20220901,L5-A,39.523809523809526,35.678391959798994,L1,0.2087912087912089,0.0810356028953558,False,False,True,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
002758,20220901,L5-A,11.842105263157894,99.26470588235294,L3,0.2006446414182112,0.1796743513405992,True,True,True,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
002824,20220901,L5-B,12.698412698412698,10.16949152542373,L0,-0.0367936925098555,-0.1171987856081179,False,False,False,2022,有色金属,YELLOW,STABLE,WARNING,OVERREACTION
002832,20220901,L5-A,8.333333333333332,70.83333333333334,L3,0.4299287410926367,0.33339313812428,True,True,True,2022,纺织服饰,YELLOW,STABLE,WARNING,OVERREACTION
002864,20220901,L5-B,13.80952380952381,84.92462311557789,L3,0.141169521559362,0.0134139156635089,True,True,False,2022,医药生物,GREEN,STABLE,HEALTHY,OVERREACTION
002895,20220901,L5-A,0.6578947368421052,74.26470588235294,L3,0.1849366144668156,0.1639663243892037,True,True,True,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
002915,20220901,L5-A,57.89473684210527,92.64705882352942,L3,0.1849648458626285,0.1639945557850166,True,True,True,2022,基础化工,YELLOW,STABLE,WARNING,OVERREACTION
300005,20220901,L5-B,44.44444444444444,66.66666666666666,L2,0.0100882723833544,-0.0864473305850022,True,True,False,2022,纺织服饰,YELLOW,STABLE,WARNING,OVERREACTION
300124,20220901,L5-A,12.5,83.80281690140845,L3,0.2984448715708543,0.2112327084858873,True,True,True,2022,机械设备,YELLOW,STABLE,WARNING,OVERREACTION
300160,20220901,L5-A,39.53488372093023,41.86046511627907,L2,0.06640625,0.0118857892174946,False,True,False,2022,家用电器,GREEN,STABLE,HEALTHY,OVERREACTION
300164,20220901,L5-B,27.77777777777778,33.33333333333333,L1,-0.0584415584415585,-0.106105684706633,False,False,False,2022,石油石化,YELLOW,STABLE,WARNING,OVERREACTION
