,nav
20250819,116460320.25986522
20250820,117335524.64631018
20250821,117395261.16129637
20250822,118524850.76775989
20250825,119812143.2263025
20250826,119295954.59928459
20250827,116119072.9434079
20250828,117237054.46652427
20250829,118008022.46971004
20250901,119152871.48814562
20250902,115462004.09098148
20250903,113392753.83026642
20250904,110216064.3685582
20250905,113444378.06246683
20250908,114330065.4868261
20250909,112783735.71770664
20250910,113285365.24472298
20250911,116483307.75359198
20250912,117191790.0593734
20250915,116259935.1910287
20250916,117422493.98124196
20250917,118616183.44639742
20250918,116988097.81613322
20250919,116311277.87745541
20250922,116962310.80085418
20250923,115228713.59218651
20250924,116899318.72095194
20250925,116373570.56284244
20250926,114830467.27110565
20250929,116554812.03572947
20250930,117156561.03555627
20251009,117796549.13832587
20251010,114999755.99629092
20251013,113651188.33620429
20251014,111086564.99844119
20251015,113545545.91922303
20251016,112618537.54487833
20251017,108432091.89461564
20251020,109379067.6954642
20251021,110999308.22054043
20251022,110003106.69865309
20251023,109731915.0676615
20251024,111491610.27387339
20251027,112689811.88743284
20251028,111349164.12577502
20251029,114205715.63657096
20251030,112112020.65571909
20251031,112283797.12669568
20251103,112080854.27317579
20251104,110358114.90662645
20251105,111997149.6041663
20251106,113728106.9186134
20251107,113146471.84001656
20251110,113221987.22325793
20251111,112986331.14241628
20251112,111579566.95854999
20251113,113286484.47224586
20251114,111603244.790262
20251117,111097202.11119755
20251118,109716308.94261914
20251119,109022905.97536628
20251120,107884663.21030945
20251121,103444650.37619504
20251124,104503680.5704812
20251125,106586121.84719324
20251126,106953831.02492252
20251127,107598391.37143895
20251128,109552362.6399969
20251201,109990371.49172579
20251202,109769799.5434629
20251203,109789248.15480727
20251204,109399594.9147003
20251205,110748562.78255673
20251208,111140458.57651755
20251209,110273163.49501751
20251210,111066332.42800269
20251211,109319227.86828643
20251212,109670232.30164076
20251215,109705421.20233952
20251216,107038284.14980078
20251217,108380435.72983101
20251218,107919281.71328768
20251219,109420649.7738426
20251222,110378232.65293843
20251223,110280483.9736558
20251224,111696200.44166747
20251225,112250608.59121789
20251226,112692085.71912713
20251229,111718471.64432155
20251230,111477177.16271432
20251231,111333137.07356149
